Reyna,pearl,4,2023-07-18,1.01,14.9,14.7,4.7,49.7,10.6,218,0.2,79637
Raze,pearl,4,2023-07-18,0.91,13.5,14.8,4.9,49.6,6.8,206,0.1,51466
Chamber,pearl,4,2023-07-18,0.93,13.3,14.2,3.6,49.5,2.6,191,0.1,19646
Fade,pearl,4,2023-07-18,0.79,11.5,14.7,6.2,49.4,3.8,171,0.1,28383
Jett,pearl,4,2023-07-18,0.93,13.8,14.9,4,49.0,5.7,202,0.2,43161
Omen,pearl,4,2023-07-18,0.86,12.7,14.7,5.1,48.8,6.3,184,0.1,47400
Harbor,pearl,4,2023-07-18,0.8,11.7,14.7,5.4,48.6,1.4,171,0.1,10662
Neon,pearl,4,2023-07-18,0.88,13.3,15.1,4.1,48.4,3.8,196,0.2,28246
Breach,pearl,4,2023-07-18,0.85,12.6,14.7,5.6,48.1,1.5,185,0.1,11122
Sova,pearl,4,2023-07-18,0.82,11.8,14.4,5.1,48.0,3.6,176,0.1,27066
Phoenix,pearl,4,2023-07-18,0.92,13.3,14.6,4.4,48.0,4.4,197,0.2,32823
KAY/O,pearl,4,2023-07-18,0.79,11.6,14.8,7.5,47.3,2.6,176,0.1,19388
Yoru,pearl,4,2023-07-18,0.88,12.9,14.8,4.2,47.1,4.4,188,0.1,32941
Killjoy,split,4,2023-07-18,0.88,12.2,13.9,4.1,51.5,4.2,180,0.1,31469
Sage,split,4,2023-07-18,0.78,11.1,14.3,6.5,50.6,12.5,164,0.1,94862
Brimstone,split,4,2023-07-18,0.87,12.6,14.5,6.4,50.2,3.9,188,0.1,29356
Raze,split,4,2023-07-18,0.93,13.8,15,5,50.2,7.7,211,0.1,58722
Cypher,split,4,2023-07-18,0.89,12.5,14,4.9,50.0,3.0,179,0.1,22469
Reyna,split,4,2023-07-18,1,14.8,14.8,4.5,49.8,10.6,217,0.2,79964
Skye,split,4,2023-07-18,0.8,11.6,14.5,7.3,49.5,4.8,172,0.1,36387
Gekko,split,4,2023-07-18,0.8,11.7,14.7,4.5,49.3,5.0,170,0.1,37515
Deadlock,split,4,2023-07-18,0.87,12.6,14.6,3.9,49.2,5.5,189,0.1,41878
Omen,split,4,2023-07-18,0.88,13,14.7,5,49.2,7.2,188,0.1,54439
Fade,split,4,2023-07-18,0.79,11.7,14.7,5.8,48.8,3.5,172,0.1,26700
Chamber,split,4,2023-07-18,0.91,13.1,14.4,3.5,48.6,2.0,189,0.2,15142
Breach,split,4,2023-07-18,0.85,12.8,15,5.4,48.6,1.6,186,0.1,12237
Jett,split,4,2023-07-18,0.92,13.7,15,3.9,48.6,5.5,201,0.2,41838
Viper,split,4,2023-07-18,0.84,12.1,14.4,4.8,48.5,3.3,178,0.1,24799
Neon,split,4,2023-07-18,0.86,13.2,15.3,4.1,48.4,3.7,194,0.2,27811
Sova,split,4,2023-07-18,0.82,12,14.6,4.9,48.2,3.5,178,0.1,26171
Phoenix,split,4,2023-07-18,0.92,13.5,14.7,4.4,48.1,4.4,199,0.2,33414
Astra,split,4,2023-07-18,0.88,12.5,14.1,4.9,47.8,0.7,180,0.1,5523
KAY/O,split,4,2023-07-18,0.79,11.9,14.9,7.4,47.1,2.5,178,0.1,19281
Harbor,split,4,2023-07-18,0.79,11.6,14.8,5,47.0,0.8,170,0.1,6421
Yoru,split,4,2023-07-18,0.87,13,14.9,4.1,47.0,4.1,188,0.1,31369
Killjoy,bind,4,2023-07-18,0.87,12,13.8,4,51.4,4.2,179,0.1,31737
Brimstone,bind,4,2023-07-18,0.88,12.7,14.4,6,51.0,4.7,187,0.1,35548
Sage,bind,4,2023-07-18,0.78,11.2,14.4,5.9,50.5,12.0,165,0.1,91257
Raze,bind,4,2023-07-18,0.92,13.8,14.9,4.7,50.1,8.0,209,0.1,61009
Gekko,bind,4,2023-07-18,0.8,11.7,14.7,4.4,50.1,5.0,170,0.1,37735
Cypher,bind,4,2023-07-18,0.87,12.2,14,4.7,50.0,3.1,176,0.1,23388
Reyna,bind,4,2023-07-18,1,14.9,14.8,4.4,50.0,10.5,217,0.2,79830
Breach,bind,4,2023-07-18,0.85,12.6,14.9,5.1,49.8,1.6,184,0.1,12180
Skye,bind,4,2023-07-18,0.81,11.8,14.6,6.7,49.8,5.1,174,0.1,38894
Astra,bind,4,2023-07-18,0.9,12.6,14.1,4.7,49.6,0.6,183,0.1,4385
Viper,bind,4,2023-07-18,0.84,12.1,14.4,4.6,49.6,3.2,178,0.1,24472
